Epoch: [0] Loss:25.36 Acc:0.00% Norm_l0:202.79 Norm_l1:11.94:   9%|▉         | 9/100 [03:47<38:18, 25.26s/it]
Epoch: [0] Loss:21.89 Acc:0.00% Norm_l0:165.66 Norm_l1:11.90:   9%|▉         | 9/100 [03:52<39:10, 25.83s/it]
Epoch: [0] Loss:18.70 Acc:0.10% Norm_l0:140.93 Norm_l1:11.86:   9%|▉         | 9/100 [04:04<41:16, 27.21s/it]
Epoch: [0] Loss:15.78 Acc:0.30% Norm_l0:122.30 Norm_l1:11.79:   9%|▉         | 9/100 [03:52<39:10, 25.83s/it]
Epoch: [0] Loss:13.33 Acc:1.10% Norm_l0:110.62 Norm_l1:11.72:   9%|▉         | 9/100 [03:55<39:37, 26.13s/it]
Epoch: [0] Loss:11.05 Acc:2.20% Norm_l0:95.93 Norm_l1:11.65:   9%|▉         | 9/100 [03:39<36:56, 24.35s/it]
Epoch: [0] Loss:9.84 Acc:4.20% Norm_l0:87.91 Norm_l1:11.56:   9%|▉         | 9/100 [03:39<37:00, 24.40s/it]
Epoch: [0] Loss:8.12 Acc:8.00% Norm_l0:84.64 Norm_l1:11.49:   9%|▉         | 9/100 [03:48<38:27, 25.35s/it]
Epoch: [0] Loss:6.65 Acc:13.10% Norm_l0:80.20 Norm_l1:11.39:   9%|▉         | 9/100 [03:45<37:57, 25.03s/it]
Epoch: [0] Loss:3.84 Acc:29.20% Norm_l0:56.46 Norm_l1:10.91:   9%|▉         | 9/100 [03:56<39:55, 26.33s/it]
Epoch: [0] Loss:2.39 Acc:45.70% Norm_l0:51.77 Norm_l1:10.42:   9%|▉         | 9/100 [03:49<38:35, 25.45s/it]
Epoch: [0] Loss:1.60 Acc:58.30% Norm_l0:30.98 Norm_l1:10.23:   9%|▉         | 9/100 [03:47<38:15, 25.23s/it]
Epoch: [0] Loss:1.55 Acc:58.80% Norm_l0:30.94 Norm_l1:10.21:   9%|▉         | 9/100 [03:20<33:44, 22.24s/it]
Epoch: [0] Loss:1.63 Acc:59.80% Norm_l0:30.93 Norm_l1:10.26:   9%|▉         | 9/100 [03:21<33:54, 22.36s/it]
Epoch: [0] Loss:1.62 Acc:59.80% Norm_l0:30.92 Norm_l1:10.22:   9%|▉         | 9/100 [03:06<31:26, 20.73s/it]
Epoch: [0] Loss:1.56 Acc:58.50% Norm_l0:30.90 Norm_l1:10.23:   9%|▉         | 9/100 [03:04<31:01, 20.46s/it]
Epoch: [0] Loss:1.61 Acc:59.00% Norm_l0:30.91 Norm_l1:10.23:   9%|▉         | 9/100 [03:03<30:54, 20.38s/it]
